,JS_Price_Category=1,coef,std err,z,P>|z|,[0.025,0.975]
2,Population,   -0.0418,    0.007,   -6.393, 0.000,   -0.055,   -0.029
3,Crime_Rates,   -0.1136,    0.007,  -17.465, 0.000,   -0.126,   -0.101
4,YearMonth_encoded,    0.9420,    0.014,   68.842, 0.000,    0.915,    0.969
5,HSP_index,   -0.0160,    0.014,   -1.157, 0.247,   -0.043,    0.011
6,SDT_index,   -0.1018,    0.011,   -9.413, 0.000,   -0.123,   -0.081
7,IR,   -0.1471,    0.013,  -11.724, 0.000,   -0.172,   -0.123
8,UR,   -0.0051,    0.008,   -0.666, 0.506,   -0.020,    0.010
9,Floor,    0.0202,    0.007,    3.020, 0.003,    0.007,    0.033
10,JS_Price_Category=2,coef,std err,z,P>|z|,[0.025,0.975]
12,Population,   -0.1233,    0.007,  -17.351, 0.000,   -0.137,   -0.109
13,Crime_Rates,   -0.2613,    0.007,  -35.716, 0.000,   -0.276,   -0.247
14,YearMonth_encoded,    1.6035,    0.016,  102.374, 0.000,    1.573,    1.634
15,HSP_index,   -0.2258,    0.015,  -15.209, 0.000,   -0.255,   -0.197
16,SDT_index,   -0.3880,    0.012,  -32.641, 0.000,   -0.411,   -0.365
17,IR,   -0.7147,    0.014,  -49.307, 0.000,   -0.743,   -0.686
18,UR,   -0.4233,    0.008,  -50.491, 0.000,   -0.440,   -0.407
19,Floor,    0.0890,    0.007,   12.042, 0.000,    0.074,    0.103
20,JS_Price_Category=3,coef,std err,z,P>|z|,[0.025,0.975]
22,Population,    0.1161,    0.008,   14.810, 0.000,    0.101,    0.131
23,Crime_Rates,   -1.0790,    0.011,  -97.512, 0.000,   -1.101,   -1.057
24,YearMonth_encoded,    2.9254,    0.018,  161.788, 0.000,    2.890,    2.961
25,HSP_index,   -0.5844,    0.016,  -35.723, 0.000,   -0.616,   -0.552
26,SDT_index,    0.1711,    0.015,   11.508, 0.000,    0.142,    0.200
27,IR,    0.4112,    0.016,   26.410, 0.000,    0.381,    0.442
28,UR,   -0.2894,    0.009,  -31.192, 0.000,   -0.308,   -0.271
29,Floor,   -0.7270,    0.009,  -77.312, 0.000,   -0.745,   -0.709
30,JS_Price_Category=4,coef,std err,z,P>|z|,[0.025,0.975]
32,Population,   -2.9085,    0.020, -143.339, 0.000,   -2.948,   -2.869
33,Crime_Rates,   -3.1043,    0.023, -136.490, 0.000,   -3.149,   -3.060
34,YearMonth_encoded,    4.6526,    0.040,  115.655, 0.000,    4.574,    4.731
35,HSP_index,   -0.8101,    0.039,  -20.993, 0.000,   -0.886,   -0.734
36,SDT_index,   -5.0977,    0.038, -132.662, 0.000,   -5.173,   -5.022
37,IR,   -6.3749,    0.051, -125.013, 0.000,   -6.475,   -6.275
38,UR,   -3.6309,    0.026, -137.941, 0.000,   -3.682,   -3.579
39,Floor,    1.4547,    0.016,   89.271, 0.000,    1.423,    1.487
